               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,             0.03677,            0.031513,            0.015974,             0.88209,             0.67677,             0.76348,             0.49672,            0.033145,            0.016176,            0.010969,            0.005149,            0.005149,            0.005149
                  51,             0.03657,            0.031799,            0.017018,             0.85189,             0.68828,             0.76591,             0.48962,            0.030739,            0.016267,            0.010876,             0.00505,             0.00505,             0.00505
                  52,             0.03622,            0.030757,            0.013438,             0.86441,             0.70258,             0.76628,             0.51104,            0.030084,            0.015884,             0.01076,            0.004951,            0.004951,            0.004951
                  53,            0.035308,            0.029171,             0.01468,             0.87713,             0.70975,             0.77836,             0.51438,            0.029541,            0.015606,             0.01032,            0.004852,            0.004852,            0.004852
                  54,            0.036123,            0.031297,            0.017337,             0.87715,             0.70776,             0.78522,             0.53137,            0.029096,            0.015472,            0.010041,            0.004753,            0.004753,            0.004753
                  55,            0.036227,            0.029849,            0.017281,              0.8695,             0.71557,             0.79074,             0.51821,            0.029479,             0.01537,           0.0098664,            0.004654,            0.004654,            0.004654
                  56,            0.035662,            0.031238,            0.014697,             0.87694,             0.71589,             0.79261,             0.54145,            0.029325,            0.015324,           0.0098242,            0.004555,            0.004555,            0.004555
                  57,            0.034544,            0.029509,            0.015153,              0.8759,             0.71598,             0.79377,              0.5597,            0.027714,            0.015177,            0.009726,            0.004456,            0.004456,            0.004456
                  58,            0.033979,            0.028668,            0.014781,             0.88756,             0.71162,             0.79818,             0.54887,            0.028253,            0.015147,           0.0095388,            0.004357,            0.004357,            0.004357
                  59,            0.037249,            0.035024,            0.014442,             0.87566,              0.7248,             0.79416,             0.55301,            0.027948,            0.015395,           0.0092597,            0.004258,            0.004258,            0.004258
                  60,            0.034426,            0.031005,            0.013143,              0.9038,             0.72877,             0.79433,             0.55674,            0.028737,            0.015307,           0.0090916,            0.004159,            0.004159,            0.004159
                  61,            0.033663,            0.030953,            0.013673,             0.90797,             0.72638,             0.80199,             0.55407,            0.027262,            0.015285,           0.0089094,             0.00406,             0.00406,             0.00406
                  62,            0.035805,            0.030693,             0.01344,             0.91462,              0.7284,             0.80718,             0.56469,            0.027239,            0.014975,           0.0088244,            0.003961,            0.003961,            0.003961
                  63,             0.03446,            0.030729,            0.012565,             0.91895,             0.72633,             0.80943,             0.58284,            0.027531,            0.014841,            0.008716,            0.003862,            0.003862,            0.003862
                  64,            0.033125,            0.028943,            0.014014,             0.92269,             0.72552,              0.8113,             0.57472,            0.026717,            0.014578,           0.0085748,            0.003763,            0.003763,            0.003763
                  65,            0.033634,             0.02886,            0.011925,             0.91133,             0.73497,             0.82465,             0.59981,            0.026618,            0.014648,           0.0084397,            0.003664,            0.003664,            0.003664
                  66,            0.033191,            0.029953,            0.014643,             0.91196,             0.72984,              0.8256,              0.5942,            0.025928,            0.014368,           0.0082951,            0.003565,            0.003565,            0.003565
                  67,            0.034232,            0.030685,            0.011744,               0.902,             0.74923,             0.82881,             0.60323,            0.024986,            0.014462,           0.0081279,            0.003466,            0.003466,            0.003466
                  68,            0.032436,            0.030994,            0.012122,             0.91059,             0.75238,             0.83242,             0.60993,            0.025892,             0.01445,           0.0079947,            0.003367,            0.003367,            0.003367
                  69,            0.032413,              0.0313,             0.01138,             0.90635,             0.75622,             0.83399,             0.61632,            0.024903,            0.014216,           0.0078182,            0.003268,            0.003268,            0.003268
                  70,            0.031524,            0.028969,            0.011029,             0.89785,             0.75804,             0.82795,             0.60401,            0.025142,            0.014276,           0.0077183,            0.003169,            0.003169,            0.003169
                  71,            0.032512,            0.028228,            0.011522,             0.90975,             0.76535,             0.83086,             0.62616,            0.024189,            0.014168,           0.0076384,             0.00307,             0.00307,             0.00307
                  72,            0.032123,            0.031482,            0.012724,             0.91391,             0.76492,              0.8327,             0.61944,            0.024369,            0.014129,           0.0075801,            0.002971,            0.002971,            0.002971
                  73,            0.031016,            0.027828,             0.01172,               0.914,             0.75913,             0.83076,             0.61571,            0.024654,            0.014169,           0.0074583,            0.002872,            0.002872,            0.002872
                  74,             0.03051,             0.02716,            0.012504,             0.91023,             0.76163,             0.83307,             0.61576,            0.024708,            0.013941,           0.0073508,            0.002773,            0.002773,            0.002773
                  75,            0.031077,            0.027145,            0.010691,             0.92724,             0.76081,             0.83616,             0.62506,            0.024086,            0.013962,           0.0072694,            0.002674,            0.002674,            0.002674
                  76,            0.030569,             0.02818,            0.012842,              0.9259,             0.75785,              0.8349,             0.63148,            0.023418,            0.013683,           0.0072012,            0.002575,            0.002575,            0.002575
                  77,            0.029713,            0.026921,            0.011545,             0.90927,             0.77326,             0.83213,             0.62396,            0.023715,            0.013694,           0.0070893,            0.002476,            0.002476,            0.002476
                  78,            0.030103,            0.029923,            0.011055,             0.92608,              0.7684,             0.83732,             0.62003,            0.024294,              0.0137,            0.006966,            0.002377,            0.002377,            0.002377
                  79,            0.029647,            0.028598,            0.012033,             0.93095,             0.76742,             0.84714,             0.64715,            0.023239,            0.013544,           0.0068361,            0.002278,            0.002278,            0.002278
                  80,            0.029315,            0.030693,            0.011001,             0.93956,              0.7634,             0.84915,             0.65325,            0.023155,            0.013528,           0.0067822,            0.002179,            0.002179,            0.002179
                  81,            0.028925,            0.025421,             0.01145,             0.94981,             0.75902,             0.85146,             0.65579,            0.022683,            0.013382,           0.0067127,             0.00208,             0.00208,             0.00208
                  82,            0.029061,            0.028895,            0.010242,             0.95343,              0.7601,             0.85168,             0.65918,            0.022317,             0.01329,           0.0066486,            0.001981,            0.001981,            0.001981
                  83,            0.027463,            0.027485,           0.0097683,             0.94772,             0.75622,             0.85719,             0.66202,            0.022093,            0.013342,           0.0065525,            0.001882,            0.001882,            0.001882
                  84,            0.026933,            0.025651,            0.011024,             0.94444,             0.75931,              0.8623,             0.67336,            0.021805,            0.013191,           0.0065021,            0.001783,            0.001783,            0.001783
                  85,            0.028079,            0.027986,            0.010458,             0.94639,              0.7633,             0.86205,             0.67386,            0.021682,            0.013217,           0.0064576,            0.001684,            0.001684,            0.001684
                  86,            0.027127,            0.025304,           0.0089398,             0.94929,             0.76349,             0.86652,             0.68074,             0.02151,            0.013094,           0.0063555,            0.001585,            0.001585,            0.001585
                  87,            0.027835,             0.02727,            0.010499,             0.95453,             0.76624,             0.86693,             0.67414,            0.021362,            0.013104,           0.0062643,            0.001486,            0.001486,            0.001486
                  88,            0.029584,             0.02867,           0.0099319,             0.95504,             0.76771,              0.8668,              0.6814,            0.021321,            0.013024,           0.0062359,            0.001387,            0.001387,            0.001387
                  89,            0.027959,            0.026582,           0.0093356,             0.95709,             0.77009,               0.864,             0.67645,            0.021138,            0.013054,           0.0061873,            0.001288,            0.001288,            0.001288
                  90,            0.028252,            0.027873,            0.010141,              0.9576,             0.76722,             0.86311,             0.67868,            0.020806,            0.012926,           0.0061251,            0.001189,            0.001189,            0.001189
                  91,            0.028042,            0.026201,           0.0098325,             0.95888,             0.77028,             0.86188,             0.68704,            0.020522,            0.012818,           0.0060745,             0.00109,             0.00109,             0.00109
                  92,             0.02742,            0.028519,            0.011013,             0.95943,             0.77152,             0.86389,             0.68691,            0.020541,            0.012805,           0.0059813,            0.000991,            0.000991,            0.000991
                  93,            0.027238,            0.026289,            0.010399,             0.95523,             0.77324,              0.8664,             0.69187,            0.020545,             0.01274,           0.0059372,            0.000892,            0.000892,            0.000892
                  94,            0.026759,            0.025899,            0.010605,             0.95503,              0.7753,             0.87293,             0.69874,            0.020262,            0.012672,           0.0058832,            0.000793,            0.000793,            0.000793
                  95,            0.026846,            0.026736,           0.0094922,             0.95286,             0.77588,             0.87564,             0.69918,            0.020341,            0.012664,           0.0058222,            0.000694,            0.000694,            0.000694
                  96,              0.0274,            0.028968,            0.010248,             0.95614,             0.77397,             0.87851,             0.70065,            0.020146,            0.012629,           0.0057828,            0.000595,            0.000595,            0.000595
                  97,            0.026194,            0.027295,           0.0095236,             0.95898,             0.77112,             0.87903,              0.7023,            0.020115,            0.012582,           0.0057661,            0.000496,            0.000496,            0.000496
                  98,            0.024767,            0.025961,           0.0093349,             0.95918,             0.77288,             0.87738,             0.70132,            0.020071,            0.012564,           0.0057493,            0.000397,            0.000397,            0.000397
                  99,            0.026262,            0.028112,           0.0088464,             0.95865,             0.77492,             0.87758,             0.70655,             0.01993,            0.012512,           0.0057243,            0.000298,            0.000298,            0.000298
